timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456631.5330718,-325.62,-373.9,-303.89,-367.19,-284.31,-256.42
1756456631.5365,-326.16,-374.17,-303.09,-366.66,-283.51,-255.61
1756456631.5409873,-325.35,-373.9,-303.63,-366.66,-283.51,-256.15
1756456631.5444026,-325.08,-374.17,-303.89,-366.93,-283.78,-255.35
1756456631.5488787,-325.62,-374.44,-303.63,-367.19,-282.7,-255.88
1756456631.553355,-325.62,-374.7,-303.63,-367.19,-283.24,-256.15
1756456631.5612638,-325.35,-374.17,-303.89,-366.12,-283.51,-255.35
1756456631.5770457,-326.16,-374.17,-303.36,-367.19,-283.51,-255.88
1756456631.5805433,-325.62,-373.9,-304.43,-367.46,-282.97,-256.15
1756456631.5850227,-325.08,-374.17,-304.16,-366.39,-283.51,-255.88
1756456631.5884383,-325.62,-374.97,-303.89,-365.85,-283.78,-255.88
1756456631.592912,-325.62,-374.17,-303.63,-365.85,-283.78,-256.15
1756456631.605079,-325.62,-374.17,-302.28,-367.19,-283.51,-256.15
1756456631.6084979,-324.82,-374.7,-303.36,-367.46,-282.97,-255.88
1756456631.6130104,-326.16,-373.9,-303.36,-367.19,-282.7,-255.08
1756456631.6164398,-325.62,-373.9,-303.63,-366.93,-283.51,-255.88
1756456631.6209345,-325.89,-374.44,-304.16,-367.46,-283.51,-256.15
1756456631.62542,-325.89,-375.24,-303.63,-367.19,-283.51,-255.88
1756456631.6333654,-325.08,-373.9,-304.7,-367.19,-283.51,-255.08
1756456631.6412299,-326.16,-375.24,-303.63,-367.73,-283.51,-254.81
1756456631.6569989,-325.89,-374.7,-303.89,-366.66,-284.05,-255.35
1756456631.6604424,-326.42,-374.17,-302.82,-366.39,-284.05,-255.35
1756456631.664911,-325.89,-374.17,-303.63,-366.66,-284.58,-254.54
1756456631.6693873,-326.42,-373.9,-303.63,-366.12,-284.05,-254.81
1756456631.6772466,-326.42,-374.7,-303.89,-367.46,-283.24,-255.35
1756456631.6851072,-326.42,-374.44,-302.82,-367.19,-283.51,-256.15
1756456631.692975,-325.08,-374.44,-303.63,-366.12,-284.05,-255.88
1756456631.6974506,-325.89,-374.44,-304.16,-366.39,-282.97,-255.88
1756456631.7053144,-326.69,-375.51,-304.16,-367.19,-283.51,-254.81
1756456631.7131708,-325.08,-373.9,-303.63,-366.66,-283.24,-254.81
1756456631.7210667,-325.08,-374.17,-303.63,-365.59,-282.97,-256.42
